member,bytes_uncompressed,bytes_compressed
2024 EIA-861 Form.xlsx,153899,116695
2024 EIA-861 Instructions.pdf,406784,393225
Advanced_Meters_2024.xlsx,693844,676318
Balancing_Authority_2024.xlsx,17774,15246
Delivery_Companies_2024.xlsx,13545,11049
Demand_Response_2024.xlsx,90322,87668
Distribution_Systems_2024.xlsx,74672,72093
Dynamic_Pricing_2024.xlsx,138897,113105
Energy_Efficiency_2024.xlsx,175702,173328
Frame_2024.xlsx,342331,212645
Mergers_2024.xlsx,11564,9090
Net_Metering_2024.xlsx,617846,596607
Non_Net_Metering_Distributed_2024.xlsx,215349,206989
Operational_Data_2024.xlsx,372583,367902
Reliability_2024.xlsx,203298,197748
Sales_Ult_Cust_2024.xlsx,472434,466481
Sales_Ult_Cust_CS_2024.xlsx,99941,93133
Service_Territory_2024.xlsx,440753,425357
Short_Form_2024.xlsx,154179,149796
Utility_Data_2024.xlsx,260483,179753
